parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
parameter_name,CD8+ alpha beta T cell percentage
analysis_id,634i720y3ropb9x
mouse_life_stage,Early adult
pvalue,0.5284984
