analysis_id,234h58gl1d8914z
mouse_life_stage,Early adult
parameter_name,UIBC (unsaturated iron binding capacity)
gene_symbol,Zfp683
parameter_id,IMPC_CBC_024_001
mouse_strain,C57BL
gene_accession_id,MGI:3650254
pvalue,0.376106
