analysis_id,zw198j25c5zd5ps
gene_symbol,Secisbp2l
parameter_name,center - resting time
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
mouse_strain,C57BL
pvalue,0.9910226
parameter_id,M-G-P_007_001_011
