gene_symbol,Ppm1j
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,nfz1k595vj06si5
parameter_id,IMPC_CSD_029_001
pvalue,0.8987073
parameter_name,Activity (body position)
gene_accession_id,MGI:1919137
