analysis_id,i0292ulbx7b0lwh
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_007_001
gene_symbol,Hpca
pvalue,0.9342136
