parameter_name,LVIDd
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trim46
gene_accession_id,MGI:2673000
analysis_id,dh9yj5z12x5132r
pvalue,0.8116431
parameter_id,IMPC_ECH_008_001
