analysis_id,7nfnbq6n9b5uf93
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
pvalue,0.4033198
mouse_life_stage,Early adult
