gene_symbol,Zcchc2
parameter_id,MGP_IMM_013_001
analysis_id,7t4y0h0y5235q4c
mouse_strain,C57BL
pvalue,0.1407036
gene_accession_id,MGI:2444114
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,Early adult
