analysis_id,7u45324q5631b2q
parameter_id,ESLIM_007_001_006
parameter_name,Periphery distance travelled
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trpa1
pvalue,0.4665692
gene_accession_id,MGI:3522699
