analysis_id,ayhdw63344x0035
parameter_name,Gait
parameter_id,IMPC_CSD_033_001
gene_symbol,Slx4ip
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
pvalue,0.4604608
