analysis_id,5818ft0hr10r7cf
mouse_life_stage,Early adult
gene_symbol,Amigo1
parameter_name,Basophil cell count
gene_accession_id,MGI:2653612
mouse_strain,C57BL
pvalue,0.3144417
parameter_id,IMPC_HEM_037_001
