parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
analysis_id,4vgs2c2wgs74o1u
gene_accession_id,MGI:1921688
mouse_strain,C57BL
pvalue,0.199959
mouse_life_stage,Early adult
gene_symbol,Clvs1
