gene_symbol,Clvs1
analysis_id,w4kmz4uqi8g711i
mouse_life_stage,Early adult
parameter_name,PP1 startle magnitude
pvalue,0.1097353
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
gene_accession_id,MGI:1921688
