analysis_id,u3r6e2zn0hu4l7q
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
gene_symbol,Slx4ip
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1921493
mouse_strain,C57BL
pvalue,0.5649392
