gene_symbol,Psmd14
mouse_life_stage,Early adult
analysis_id,626kk82n4d8n7a1
parameter_name,Bone Mineral Content
mouse_strain,C57BL
pvalue,0.3282325
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:1913284
