parameter_name,Sacral processes
analysis_id,361547f7m893x90
parameter_id,IMPC_XRY_066_001
pvalue,0.1521808
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,Early adult
