analysis_id,75559i335dejbfz
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
parameter_name,Edema
gene_accession_id,MGI:105072
pvalue,0.3614588
gene_symbol,Rab22a
