gene_symbol,Cds2
mouse_strain,C57BL
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_name,Click-evoked ABR threshold
pvalue,0.7836304
parameter_id,IMPC_ABR_002_001
analysis_id,n608kw628mnbo5f
