gene_symbol,Tiprl
mouse_strain,C57BL
parameter_id,MGP_IMM_067_001
analysis_id,r7p8n902u123ku5
pvalue,0.7854649
mouse_life_stage,E12.5
parameter_name,CD11b-low cDC - % of cDC
gene_accession_id,MGI:1915087
