parameter_name,Lens
parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:1934811
mouse_strain,C57BL
gene_symbol,Nucks1
analysis_id,j1gz801937r5wi4
pvalue,0.2844265
mouse_life_stage,Late adult
