parameter_id,JAX_SLW_014_001
pvalue,0.1111759
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,063rcf03bmdd9q4
