gene_symbol,Ufc1
gene_accession_id,MGI:1913405
pvalue,0.3244416
parameter_id,MGP_IMM_041_001
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,673qu7075wf2770
