analysis_id,068o7hpa0jbar3n
parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
pvalue,0.1825506
mouse_strain,C57BL
gene_accession_id,MGI:1336200
