analysis_id,9j3w7632waizgto
mouse_life_stage,E12.5
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Whole arena average speed
pvalue,0.1433041
parameter_id,JAX_OFD_009_001
