gene_symbol,Kifap3
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
analysis_id,2519c926v9d3800
pvalue,0.6011089
parameter_id,JAXLA_GRS_010_001
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
