gene_symbol,Arpc2
analysis_id,0176nh916bd9r67
parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
mouse_life_stage,Early adult
pvalue,0.5709804
gene_accession_id,MGI:1923959
mouse_strain,129SV
