parameter_name,Zygomatic bone
pvalue,0.4466113
gene_symbol,Morn5
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
analysis_id,ynltm5vy8x3rl8y
