analysis_id,oa4o7hct57pllg5
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
parameter_name,Hemorrhage
pvalue,0.06310262
mouse_strain,C57BL
