analysis_id,f0bunt1542jb434
pvalue,0.1892393
parameter_id,IMPC_GEL_060_001
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_name,Neural tube morphology
mouse_strain,C57BL
