gene_symbol,Tbl1xr1
pvalue,0.5249662
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
analysis_id,v3fa0f9dfkot3pb
