gene_symbol,Hspa5
analysis_id,11903s6a1h56pgx
parameter_id,MGP_IMM_130_001
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
pvalue,0.9456509
mouse_strain,C57BL
