analysis_id,e8vqi6jc0l0x09v
gene_accession_id,MGI:1913396
pvalue,0.7658955
mouse_strain,C57BL
gene_symbol,Maco1
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
