gene_symbol,Sema6c
parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1338032
parameter_name,BMC/Body weight
analysis_id,78u2xzaz544d2d2
pvalue,0.7814273
mouse_strain,C57BL
mouse_life_stage,Early adult
