analysis_id,z22nsbvi1j24w1j
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1916220
gene_symbol,Dcaf12
mouse_life_stage,Early adult
parameter_name,Time mobile light side
pvalue,0.6876668
