gene_symbol,Npbwr1
analysis_id,i97235r6h6tavu9
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
pvalue,0.5398783
parameter_id,IMPC_GRS_009_001
