gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_id,MGP_MLN_001_001
pvalue,0.8056323
analysis_id,t55co29u61724c4
parameter_name,Total T cells - % of CD45+
mouse_life_stage,E18.5
