gene_symbol,Rab13
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Center resting time
analysis_id,58kb17w90884g26
parameter_id,JAX_OFD_015_001
pvalue,0.2409877
gene_accession_id,MGI:1927232
