analysis_id,k04lvig8w4ifa72
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:1927232
parameter_name,Sacral processes
gene_symbol,Rab13
pvalue,0.378903
mouse_life_stage,Early adult
mouse_strain,C57BL
