parameter_id,JAX_OFD_009_001
gene_accession_id,MGI:99915
mouse_strain,C58BL
mouse_life_stage,Early adult
analysis_id,339088up7761jna
parameter_name,Whole arena average speed
gene_symbol,Lamb3
pvalue,0.3596506
