parameter_name,Caudal processes
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
pvalue,0.5046609
analysis_id,ap6ly832u3t4792
