analysis_id,51960yzc5he268y
parameter_id,IMPC_GEO_048_002
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
Gene_symbol,Zmynd8
parameter_name,Anophthalmia
pvalue,0.8644793
mouse_strain,C57BL
