analysis_id,9hi7438443oc94m
parameter_name,Calcium
pvalue,0.2004598
parameter_id,IMPC_CBC_009_001
mouse_life_stage,Early adult
gene_symbol,Wars2
mouse_strain,C57BL
gene_accession_id,MGI:1917810
