analysis_id,1767v1kor5e64la
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_073_001
mouse_life_stage,E12.5
pvalue,0.8474145
gene_symbol,Bmi1
gene_accession_id,MGI:88174
