analysis_id,07aq08l4xwe379u
mouse_strain,C57BL
gene_symbol,Ncaph
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
parameter_name,Stroke Volume
pvalue,0.4398812
gene_accession_id,MGI:2444777
