analysis_id,7m7ni3567490rx5
parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
pvalue,0.5633778
gene_symbol,Rab13
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
