parameter_name,HR
parameter_id,IMPC_ECG_002_001
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
pvalue,0.1556765
analysis_id,304779pf4atn212
mouse_strain,B6J
mouse_life_stage,Early adult
