analysis_id,6y45p8sr8ls2nw3
gene_accession_id,MGI:2670995
pvalue,0.7540994
mouse_strain,C57BL
gene_symbol,Trp53i11
parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
mouse_life_stage,Early adult
