analysis_id,o87v11ow17k3lwn
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_name,Effector gd T cells - % of gd T cells
parameter_id,MGP_IMM_020_001
pvalue,0.9968911
