analysis_id,egfeu1e367l27g8
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_010_001
parameter_name,HRV
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C57BL
pvalue,0.6717469
