analysis_id,c6b5o55462nh0m6
gene_symbol,Slc45a3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Body position
pvalue,0.2327081
gene_accession_id,MGI:1922082
parameter_id,ESLIM_008_001_001
