gene_symbol,Galnt13
mouse_life_stage,Late adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
analysis_id,v5uq63p0vt1fp4w
mouse_strain,C57BL
pvalue,0.6524038
gene_accession_id,MGI:2139447
parameter_id,MGP_IMM_073_001
