gene_symbol,Bach2
mouse_strain,C57BL
analysis_id,lssg7x81h30frg0
gene_accession_id,MGI:894679
parameter_id,IMPC_CBC_001_001
pvalue,0.618858
mouse_life_stage,Early adult
parameter_name,Sodium
