analysis_id,680456c4p47883h
parameter_name,Glucose response AUC
mouse_strain,C57BL
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
pvalue,0.5366997
parameter_id,ESLIM_004_001_701
mouse_life_stage,Early adult
