analysis_id,ey9sx43l72i4ofp
parameter_name,CD11b-low cDC - % of cDC
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_067_001
pvalue,0.2266103
mouse_strain,C57BL
gene_accession_id,MGI:1916043
