gene_symbol,Atg4c
gene_accession_id,MGI:2651854
mouse_strain,C57BL
analysis_id,9g3441n39q37eup
mouse_life_stage,Early adult
parameter_name,Alanine aminotransferase
pvalue,0.5252004
parameter_id,IMPC_CBC_013_001
