analysis_id,0xzb1l89hyxa814
gene_symbol,Lpgat1
mouse_life_stage,E18.5
parameter_name,Time mobile light side
mouse_strain,C57BL
parameter_id,JAX_LDT_003_001
pvalue,0.6000205
gene_accession_id,MGI:2446186
