parameter_name,Hematocrit
pvalue,0.5296694
mouse_strain,C57BL
gene_symbol,Dnajc5b
analysis_id,y54ck1woln58o68
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
parameter_id,IMPC_HEM_004_001
