gene_symbol,Sdcbp2
analysis_id,1258l820owsd502
pvalue,0.08491556
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
parameter_id,JAXLA_CSD_021_001
parameter_name,Hindlimbs - shape
