parameter_name,Lens Opacity
gene_symbol,Rab22a
parameter_id,IMPC_EYE_017_001
pvalue,0.5055875
analysis_id,8jdoz470151k19z
mouse_strain,C57BL
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
