gene_symbol,Npbwr1
analysis_id,gmeg2s64l3wj119
mouse_life_stage,Early adult
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
pvalue,0.5228315
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:891989
