parameter_name,Snout size
gene_accession_id,MGI:109356
parameter_id,MGP_CSD_067_001
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.3755499
gene_symbol,Snap23
analysis_id,k77v3f14x3ir34g
