analysis_id,uyhxc6fia5p5092
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
pvalue,0.06037413
parameter_name,Transitional B Cells (CD21/35 low)
parameter_id,IMPC_IMM_069_001
gene_symbol,Duoxa2
mouse_strain,C57BL
