analysis_id,082811r09716f9a
parameter_id,MGP_IMM_041_001
gene_accession_id,MGI:1921442
pvalue,0.703424
mouse_life_stage,Early adult
gene_symbol,Arpc5l
mouse_strain,C57BL
parameter_name,Total B cells - % of CD45+
