analysis_id,vj6u41iht88vvz9
Pvalue,0.8870915
parameter_name,Others
Mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
mouse_life_stage,E12.5
gene_symbol,Hspa5
gene_accession_id,MGI:95835
